i made this 
19607 17370 2
1532 15103 2
1935 17741 2
6450 11606 2
6570 7117 2
6570 17052 2
6907 16216 2
7117 6570 2
9439 19689 2
11606 6450 2
15103 1532 2
15268 18385 2
16216 6907 2
16776 16993 2
16993 16776 2
17052 6570 2
17741 1935 2
18385 15268 2
19689 9439 2
2487 4370 2
3085 19584 2
3396 6288 2
6450 12395 2
6549 7584 2
7006 19715 2
7714 2288 2
7724 2956 2
8691 11908 2
9830 19123 2
10235 36 2
10466 5106 2
12536 176 2
13230 8139 2
13418 6588 2
13514 12633 2
16389 1791 2
17678 15604 2
17906 1437 2
7 13781 1
163 12944 2
3595 9954 2
4425 11634 2
4919 14535 2
6544 2165 2
6980 4654 2
7105 11450 2
7912 17407 2
8088 6119 2
8190 6935 2
8605 17035 2
10235 1074 2
10236 19384 2
10654 8018 2
11822 10049 1
11883 9525 2
12134 13296 2
12239 1005 2
12935 9600 2
13013 15026 2
14089 15670 2
14284 242 2
14902 8346 2
15082 2851 2
16410 5148 2
16462 6662 2
16679 10632 1
18086 8158 2
18511 13307 1
18614 16630 2
18845 8292 2
19034 11118 2
19925 1668 2
163 4861 2
284 11693 2
325 3154 2
584 6539 2
851 16924 2
1105 17050 2
1286 2691 2
1593 8017 2
1803 15766 2
1877 641 2
1939 8433 2
2463 15654 2
2748 15029 2
3891 7270 2
3958 3888 2
4241 8199 2
4673 271 2
5076 5641 2
5584 3762 2
5903 944 2
6028 5057 1
6139 1809 2
6224 552 2
6268 11332 2
7359 14895 2
7816 250 1
8250 3781 2
8394 10689 2
8394 13208 2
10070 1876 2
10408 293 2
10466 13293 2
10791 8185 2
11427 4792 2
11667 11407 2
12077 15390 2
12270 18217 2
12403 8272 2
12628 8076 2
13474 1252 2
13923 7178 2
13938 6174 2
13967 8930 2
14105 14263 2
14556 2242 2
15025 6972 1
15081 14377 2
15190 14565 2
15631 9756 2
15764 14683 2
16069 8992 2
16840 33 2
16952 7688 2
17093 1060 2
17107 15783 2
17212 7005 2
17952 12390 2
18222 7057 2
18290 1679 2
18638 10182 2
18882 17262 2
19149 12129 2
19162 12390 2
19209 14278 2
19815 19166 2
19893 8792 2
19893 12627 2
7 1010 2
303 6308 2
325 6638 2
691 7073 2
1532 5801 2
1667 10092 2
1872 4209 2
1907 14522 2
2059 16255 2
2340 16093 1
2877 16303 2
3214 7753 2
3450 4699 2
3498 13783 2
3611 14752 2
3776 2830 2
3997 3221 2
4509 7111 2
5017 10561 2
5159 17394 2
6463 19024 2
7359 3774 2
7609 3645 2
7671 1387 2
8033 12899 1
8261 13658 2
8679 14492 2
9141 12843 2
9554 10779 0
9863 13937 2
10069 3647 2
10315 4699 2
10846 17461 2
10990 10745 2
10990 11712 2
11243 11563 2
11333 14858 2
11740 3790 2
12270 11979 2
12989 1850 2
13514 1873 2
13524 13635 2
13736 1367 2
13907 9347 2
14210 12704 2
14297 11694 2
14520 8782 2
15081 14 2
15268 17926 2
15740 13302 2
15987 3880 1
16005 16043 2
16250 1831 2
16611 6335 2
16611 19918 2
16667 7216 2
16896 18624 2
17198 12091 2
17212 14176 2
17258 13509 2
17330 4494 2
17875 3639 2
17911 19013 2
18174 18367 1
18463 7318 2
18715 2649 1
18788 3880 2
19047 7977 2
19757 4555 2
19815 17426 2
19960 14700 2
658 2057 1
1118 18938 2
1169 2517 2
1823 8824 2
2057 658 1
2517 1169 2
3195 14009 2
3259 18236 2
4981 5644 2
5029 15592 2
5644 4981 2
5646 13946 2
5663 11824 2
6049 15400 2
6514 11641 1
6691 18393 2
7170 19065 2
7655 16559 2
8824 1823 2
9979 12056 2
10208 17345 2
10386 16100 2
11292 12021 2
11641 6514 1
11824 5663 2
12021 11292 2
12056 9979 2
13202 13546 2
13546 13202 2
13946 5646 2
14009 3195 2
14395 16073 1
15400 6049 2
15592 5029 2
16073 14395 1
16100 10386 2
16552 19138 2
16559 7655 2
16610 18201 2
17345 10208 2
18201 16610 2
18236 3259 2
18393 6691 2
18938 1118 2
19065 7170 2
19138 16552 2
399 17228 1
520 15241 2
1379 1365 2
1379 6959 2
3007 13826 2
3197 5192 2
3208 15203 2
3979 2552 2
4011 18128 2
4167 7321 2
4330 1591 2
4487 9009 2
4545 3802 2
4773 2443 1
4801 10338 2
4864 13307 2
5723 186 2
5828 7025 2
5846 13225 2
6321 7370 2
6428 3001 2
6699 6068 2
7103 7636 2
7118 13984 2
7154 7394 2
7181 8535 2
7492 11173 1
7584 18098 1
7687 12759 2
7973 4992 2
8273 18865 2
8386 11627 2
8461 17177 2
8864 14538 2
8984 7762 2
9161 3702 1
9626 18144 2
9757 10382 2
9970 4422 2
10148 7906 2
10223 12560 2
10560 4387 2
10878 367 2
10882 9209 2
10892 3055 2
10892 7628 2
10933 6119 2
11577 13339 2
11814 17328 2
11873 15510 2
12014 18660 1
12424 18185 1
12693 11922 2
13118 18098 2
13322 3408 2
13415 9890 2
13450 15797 2
13645 9272 2
14483 14339 2
14491 8965 2
14963 13086 2
15098 1381 2
15623 8004 2
15738 619 2
15874 6767 2
15937 2254 2
16068 9420 2
16385 1731 2
16629 19441 2
16696 11228 2
16706 4201 2
17037 7851 2
17053 19583 2
17167 6415 2
17302 9485 1
17548 5264 2
17585 9188 2
18002 17628 2
18057 15350 2
18201 3720 2
18305 6481 2
18461 10737 2
18798 17531 2
18843 7666 2
19223 903 2
19517 14735 2
19737 19578 2
19933 4106 2
77 5268 2
166 8279 2
517 12499 2
714 11217 2
734 17218 1
1362 10961 1
1471 3211 2
1505 2162 2
1562 6412 2
1562 13510 2
1721 15946 2
1880 5839 2
1905 15466 2
1931 14737 2
2256 17675 2
2336 66 2
2637 17709 2
2827 6503 2
2898 3502 2
2899 9345 2
3012 19943 1
3288 19654 2
3703 2126 2
3893 14809 2
3993 2946 2
4014 15561 2
4015 9452 2
4400 5241 2
4430 10472 2
4464 1664 2
4528 6958 2
4528 10785 2
4819 760 2
5200 18214 2
5580 11735 2
5607 9494 2
5666 14015 1
5793 16813 2
6290 9023 2
6290 16843 1
6600 11241 2
6815 14190 2
7074 7525 2
7133 7130 2
7324 9905 2
7470 7576 2
7615 4232 2
7672 1265 2
7950 2961 2
8029 8012 2
8188 15585 2
8208 13651 2
8666 17930 2
8748 9583 2
9035 3100 2
9036 4802 2
9170 13688 2
10032 17730 2
10037 17091 2
10837 8185 1
11089 2776 2
11113 10860 2
11299 7900 2
11330 12472 2
11331 1260 2
11382 205 2
11487 3657 2
11570 9039 2
11821 501 2
11950 7908 2
11989 10961 2
12289 6452 2
12477 3526 2
12477 13462 2
12630 220 2
12666 7226 2
12786 14926 2
12871 11320 2
13059 2961 2
13083 10248 2
13083 14738 2
13470 1643 2
13542 1968 2
13804 9196 2
13958 12114 1
14072 14348 2
14086 6956 2
14130 3667 1
14157 18728 2
14184 17578 2
14293 8310 2
14903 3742 1
14963 1259 2
15187 10785 2
15277 5057 2
15311 14334 1
15625 17115 2
15885 10196 2
16051 9759 2
16207 3255 2
16392 3445 1
16616 12135 2
17336 4571 2
17418 7588 2
17487 16037 1
17588 6147 2
17645 273 2
17831 6197 2
17861 4613 2
17869 5425 2
18083 11032 2
18139 16960 2
18258 16766 2
18906 17064 2
19285 10729 2
19387 623 2
19394 11059 2
19394 12000 2
19534 2776 2
19546 19728 1
19559 12329 2
19559 19449 1
59 6372 2
246 12531 2
530 19580 2
697 15327 2
748 13227 2
1001 16255 2
1214 527 2
1275 19918 2
1562 18172 2
1874 18780 2
1967 18027 2
2419 16582 2
2708 14275 2
2708 19062 2
2742 8242 2
2898 19037 2
2993 4504 2
3303 11020 1
3479 5784 1
3497 8935 2
3571 14165 2
3783 19555 2
3887 4724 2
4025 9137 2
4033 8505 2
4033 18973 2
4115 11197 2
4407 19263 2
4430 10363 2
4487 4645 1
4593 612 2
4743 15681 2
4932 18230 2
5008 3124 2
5230 10770 2
5467 18247 2
5608 17898 2
5799 18428 2
5939 10958 2
5963 14165 2
6247 14840 2
6321 14492 2
6445 1656 1
6554 1182 2
6554 5868 2
6596 902 2
6699 10326 1
7047 1542 1
7103 14410 2
7107 19975 2
7133 12202 2
7355 16554 2
7452 10799 2
7584 2868 2
7954 8451 2
7957 18719 2
7981 9985 2
8195 6365 2
8208 4364 2
8332 2763 2
8465 16255 2
8618 5441 2
8845 9584 2
9789 4731 2
10112 7771 2
10213 12663 2
10380 1662 2
10572 13094 2
10693 7556 2
11292 17966 2
11527 12663 1
11728 18223 2
12033 10777 2
12033 13552 2
12080 17203 2
12088 3040 1
12088 3293 2
12178 6559 2
12464 12784 2
12567 16786 2
12724 4757 2
12775 9394 2
12793 5049 2
13096 17400 2
13228 782 2
13228 19075 2
13287 5712 2
13438 15028 1
13494 15102 2
13630 12762 2
13684 9269 2
13689 8133 2
14057 19937 2
14151 19330 2
14317 19270 2
14417 12798 2
14417 16826 2
14483 16726 2
14550 4757 2
14561 97 2
14592 2259 2
15104 11628 2
15218 4309 2
15369 15227 2
15567 4886 2
15633 2594 2
15647 12040 2
15768 17150 2
15874 10733 2
16068 1556 2
16608 6467 2
16686 11260 2
17585 1161 2
17652 13978 2
18069 11637 2
18229 13556 2
18312 10242 2
18337 2160 2
18377 3109 2
18430 11115 2
18707 13400 2
18817 5542 1
18818 12942 2
19123 5389 2
19123 17789 2
19276 10494 2
19325 18028 2
19494 15612 2
19497 8371 2
19742 5209 1
19781 14469 2
19839 4055 2
36 17503 2
77 1187 2
143 19190 2
176 16841 2
218 14346 2
256 12212 2
520 10018 2
617 14046 1
646 3587 2
646 13696 2
655 1799 2
695 2735 2
697 12208 2
751 19512 1
840 7965 1
859 13298 1
1118 2409 2
1131 4237 2
1511 339 2
1526 4707 2
1635 562 2
1779 12579 2
1960 19699 2
2108 12398 2
2110 301 2
2227 16929 2
2273 19655 2
2632 6045 2
2701 8671 2
2742 2495 2
2825 19204 2
3082 15994 2
3198 7489 2
4052 3506 2
4382 5433 2
4407 18423 2
4453 17974 2
4489 113 2
4693 17292 2
4989 4108 2
4998 3178 2
5025 1487 2
5200 8968 2
5332 18171 2
5455 9582 2
5481 15693 2
5649 8764 1
5649 17505 2
5663 7429 2
5663 13885 2
5973 8486 2
6054 6045 2
6089 5975 1
6194 4712 2
6343 11948 2
6445 7784 2
6487 17131 1
6654 8320 2
6699 9244 2
6700 3402 2
6756 5361 2
6853 12448 2
7103 2710 2
7272 12489 2
7299 19850 2
7574 5572 2
7658 7038 2
7950 334 2
7999 11169 2
8188 13188 2
8206 2911 2
8208 18618 2
8523 3915 2
8951 19940 2
9757 6542 1
9865 15444 2
10066 8197 2
10299 3788 2
10309 19820 2
10502 13723 2
10605 19462 2
10736 724 2
10877 17694 2
11351 7395 1
11539 19400 2
12057 18186 2
12264 12799 2
12324 16873 2
12561 16942 2
12675 3620 2
12740 15919 2
12775 15807 2
13111 10321 2
13123 2312 2
13306 12654 2
13558 14746 2
13618 14011 2
13739 3299 2
13739 17432 2
13868 1723 2
13999 6160 2
14033 2467 2
14062 8883 2
14151 11789 2
14206 11283 1
14381 6060 2
14591 5654 2
15056 11289 2
15056 15870 2
15067 4690 2
15287 14757 2
15302 5864 2
15454 6562 2
15513 5650 2
15652 15964 2
15652 16425 2
15683 4050 2
15719 7675 2
16114 720 2
16159 2458 2
16225 2080 2
16294 14794 2
16451 8614 2
16492 7797 2
16719 18582 1
16733 18090 2
16861 5645 2
16879 11977 2
16983 1087 2
17168 7720 2
17267 2646 2
18117 17492 2
18181 17023 2
18363 2753 2
18456 1304 2
18519 15430 2
18613 13811 1
18707 14420 2
18732 1251 2
18803 4038 2
18830 6413 2
18856 1092 2
19000 3643 2
19058 5105 1
19230 3869 2
19287 11689 2
19380 9574 2
19515 16727 2
19551 3846 2
19575 4438 2
19714 3673 2
19782 14215 1
19839 4663 2
234 952 1
242 18957 2
269 8657 2
336 17298 2
700 18067 2
918 6566 1
952 234 1
1074 15049 1
1253 13860 2
1296 19186 2
1340 16674 2
1725 5168 2
1731 19688 2
1839 15036 2
1896 8508 2
1900 2064 2
1940 3847 2
1991 9525 2
2064 1900 2
2190 11746 2
2483 14349 2
2523 18766 2
2758 19366 2
2963 16055 2
3031 4343 2
3094 15539 2
3331 6070 2
3847 1940 2
3985 10978 2
4261 4944 2
4343 3031 2
4543 17076 2
4676 6218 2
4944 4261 2
4973 18489 1
4973 19408 2
5065 9978 2
5168 1725 2
5265 8925 2
5265 9695 2
5402 10862 1
5412 19688 2
5912 10942 2
6063 8016 2
6070 3331 2
6218 4676 2
6253 7878 2
6566 918 1
6895 12599 2
7488 13218 2
7562 10895 2
7629 14625 2
7823 7878 2
7878 6253 2
7878 7823 2
8016 6063 2
8308 15099 2
8508 1896 2
8584 12909 2
8657 269 2
8905 18673 2
8925 5265 2
9324 19222 2
9328 12052 2
9525 1991 2
9695 5265 2
9844 17481 2
9978 5065 2
10511 11192 2
10527 16506 2
10862 5402 1
10895 7562 2
10942 5912 2
10978 3985 2
11009 15342 1
11192 10511 2
11627 16665 2
11634 16672 2
11746 2190 2
11848 19433 2
12052 9328 2
12203 13382 2
12599 6895 2
12825 12902 2
12886 13964 1
12902 12825 2
12909 8584 2
13218 7488 2
13382 12203 2
13860 1253 2
13964 12886 1
14349 2483 2
14625 7629 2
15036 1839 2
15049 1074 1
15099 8308 2
15342 11009 1
15539 3094 2
16001 18759 2
16055 2963 2
16096 16555 2
16506 10527 2
16555 16096 2
16665 11627 2
16672 11634 2
16674 1340 2
17076 4543 2
17298 336 2
17359 17653 2
17481 9844 2
17653 17359 2
18067 700 2
18489 4973 1
18673 8905 2
18759 16001 2
18766 2523 2
18957 242 2
19186 1296 2
19222 9324 2
19366 2758 2
19408 4973 2
19433 11848 2
19688 1731 2
19688 5412 2
65 2245 2
81 6133 2
121 5393 2
254 6507 2
300 8342 2
360 7320 2
387 10415 2
467 11054 2
506 8022 2
613 6653 2
630 8494 2
630 14201 2
732 9428 2
1255 19837 2
1350 1460 2
1351 9059 1
1351 17578 2
1365 2367 1
1467 4473 2
1536 12718 2
1565 12343 2
1789 9634 2
1920 10675 2
2069 5859 2
2236 12566 2
2457 18211 2
2528 12408 2
2603 16940 2
2715 15934 2
2844 12284 2
2851 3705 2
2897 5713 2
2921 18610 2
2929 17154 2
3055 8597 2
3590 7829 2
4317 15348 2
4369 7414 2
4514 8650 2
4717 5600 2
4782 14694 1
4877 7346 2
5129 1429 2
5218 17944 1
5257 1566 2
5470 16455 2
5548 6653 2
5797 17754 2
5887 7619 2
6001 13393 2
6050 1785 2
6052 16678 2
6215 7145 2
6253 5421 2
6662 15069 2
6808 14299 2
7423 5134 2
7572 321 2
7585 3211 2
7793 15423 2
7819 6555 2
7823 15086 2
8568 9452 2
8727 6225 2
9186 13100 2
9212 6133 2
9416 2008 1
9465 1017 2
9478 3445 2
9480 11039 2
9498 341 2
9747 19565 2
9927 33 2
10217 11516 2
10288 5454 2
10475 15700 2
10481 15216 2
10798 12644 2
10896 5438 2
10909 12194 2
11134 15698 2
11140 14092 2
11184 13516 2
11321 18786 2
11341 7010 2
11477 19106 2
11532 15185 2
11558 8792 2
11572 14468 2
11718 6234 2
11765 12130 2
11894 5122 2
11894 7619 2
12144 16602 2
12206 11951 2
12864 6083 2
12885 16741 1
12950 3903 2
13086 2977 2
13086 18386 2
13281 2464 2
13349 25 2
13565 2626 2
13599 552 2
13629 11714 1
13759 15570 2
13771 11846 1
13881 12644 2
14099 19009 2
14261 16017 2
14323 8707 2
14352 14468 2
14476 19720 2
14485 3526 1
14741 13802 2
14817 16979 1
14948 7804 2
15269 2640 2
15355 3357 2
15564 17948 2
15595 13637 2
15629 249 1
15842 8670 2
15926 15782 2
15959 18563 2
16056 17709 2
16245 19054 2
16249 3890 2
16254 1650 1
16463 18175 2
16674 3500 2
16792 5982 2
17076 11407 2
17119 25 2
17165 19470 2
17219 1887 2
17285 12783 2
17332 4032 2
17470 5069 2
17624 14679 2
17763 15707 2
17797 1788 2
17887 15767 2
17951 14748 2
18341 17913 2
18354 8082 2
18388 11961 2
18409 16037 2
18475 405 2
18518 16223 2
18580 2464 2
19032 17848 2
19095 16668 2
19116 1488 2
19117 2210 2
19198 8680 2
19222 5198 2
19299 16259 2
19408 1378 2
19464 5688 2
19685 9568 2
19702 19569 1
19726 3130 2
19825 594 2
19941 9751 2
162 9794 2
269 4140 2
337 2613 2
426 757 2
452 18344 2
635 16279 2
1073 7392 2
1127 15599 1
1145 11909 2
1418 14152 2
1467 6999 2
1468 2081 2
1585 7899 2
1621 5010 2
1645 16688 2
1816 5484 2
1893 7086 2
1940 16080 2
1999 6262 2
2013 1203 2
2103 19812 2
2166 10996 1
2185 4416 2
2314 12517 1
2360 5674 2
2360 6552 2
2552 7886 2
2635 1542 2
2758 13867 2
2780 9086 2
3217 19063 2
3227 15891 2
3278 12933 2
3616 3922 2
3844 4134 2
3852 3469 2
3988 3908 2
4440 4938 2
4493 8163 1
4513 18602 2
4557 7726 2
4590 12914 2
4627 4325 2
4739 17045 2
4973 3647 2
4992 2530 2
5033 8097 2
5129 15351 2
5218 17519 2
5228 18428 2
5314 14587 2
5319 4595 2
5515 7101 2
5515 17057 2
5681 19937 2
5935 15119 2
6068 9052 2
6150 1674 2
6254 16386 2
6393 2548 2
6485 3124 2
6489 18387 2
6621 10542 2
6877 1847 2
6877 9592 2
6922 10963 2
6994 15646 2
7068 19304 2
7078 1634 2
7386 14456 2
7396 3469 2
7743 15499 2
7745 17095 2
7767 13978 2
8023 1687 2
8023 19257 2
8044 18992 2
8145 16722 2
8209 15780 2
8275 17266 2
8380 9533 2
8434 10211 2
8495 572 2
8854 492 2
8921 3523 2
8943 4935 2
8953 7311 2
9074 495 2
9149 5184 2
9208 548 2
9287 19270 2
9329 3623 2
9360 4122 2
9420 17878 2
9441 19530 2
9485 850 2
9526 15895 2
9890 3221 2
10012 15316 2
10019 14302 2
10040 5995 2
10345 6107 2
10422 19189 2
10503 1450 2
10554 2071 2
10590 11640 2
10594 14087 2
10698 12011 2
10834 17982 2
10924 7896 1
11160 3327 2
11178 1337 2
11181 10956 2
11192 14275 2
11294 7300 2
11294 9229 2
11339 16528 2
11421 137 2
11461 9246 2
11490 4280 2
11607 13391 2
11717 13384 2
11730 18706 2
11743 6678 2
11812 18367 2
11913 18617 2
12101 8306 2
12104 16786 2
12139 9334 2
12140 14530 2
12287 9611 2
12457 10479 2
12777 15051 1
12787 18577 2
12825 17870 2
12886 12778 2
12906 12914 2
12951 126 2
13048 10363 2
13054 9686 2
13060 1269 2
13127 17273 2
13176 8415 2
13204 9693 2
13249 10745 2
13296 4875 2
13375 7787 2
13390 4699 2
13504 5562 2
13698 1262 2
13744 14274 2
13878 15117 2
14017 16295 1
14020 10543 2
14109 9814 2
14227 4895 2
14335 4723 2
14363 7258 2
14649 13114 2
14707 12622 2
14754 1971 2
14817 9825 2
14882 19459 2
14935 3346 2
14951 19396 2
14979 17188 2
15085 15279 2
15180 1262 2
15308 17704 2
15437 850 2
15478 1546 2
15642 901 2
15655 6805 2
15671 16443 2
15959 15258 2
15982 12266 2
15993 3681 1
16359 8747 2
16364 13476 2
16480 4413 2
16523 13979 2
16672 3954 1
16672 14914 2
16751 18465 2
16955 4227 2
17029 9251 2
17126 11071 1
17376 16405 1
17383 15860 2
17976 5293 2
18006 4540 2
18105 19915 2
18383 1360 2
18417 10584 2
18505 5753 2
18568 1975 2
18660 17748 2
18908 8808 2
18925 17613 2
18957 2743 2
19474 15258 2
19504 12150 2
19813 5657 2
19825 14360 2
19880 721 2
19887 17632 2
32 15966 2
95 10960 2
99 7627 2
162 10153 2
196 15441 2
265 1066 2
300 1903 2
372 11632 2
613 8112 2
643 1455 1
666 18084 1
669 17251 2
863 19208 2
892 4283 2
1036 14773 2
1061 130 2
1079 10060 2
1166 8927 2
1375 13164 2
1381 8944 2
1506 15557 2
1940 17784 2
1943 7925 2
2005 14800 2
2018 12931 2
2188 7837 2
2230 15107 2
2247 6278 2
2326 15398 2
2333 8024 2
2360 10463 2
2372 9781 2
2407 10051 2
2457 1573 2
2536 11825 2
2896 4840 2
2929 9981 2
3249 17915 2
3347 14536 2
3406 15557 2
3420 14372 1
3495 13258 2
3530 16754 2
3559 17905 2
3572 7344 2
3616 10468 2
3687 7497 2
3718 19332 2
3819 19204 2
3870 18084 2
3930 15239 2
3951 18424 2
4088 5394 2
4258 4596 2
4343 8862 2
4414 10761 1
4488 865 2
4493 7097 2
4533 18931 2
4655 9977 1
4717 6757 2
5155 11738 2
5225 496 2
5288 3942 2
5305 15345 1
5317 17388 2
5362 4914 2
5412 9914 2
5431 1028 2
5480 6931 2
5494 8671 2
5502 18771 2
5524 6888 1
5577 5975 2
6081 3178 2
6120 9491 1
6161 4170 2
6254 19754 2
6294 10394 2
6327 12489 2
6454 103 1
6469 13099 2
6482 2572 2
6485 1840 2
6582 1881 2
6665 12038 2
6727 19907 2
6924 5433 2
6994 1861 1
7186 3137 2
7186 19119 2
7227 3472 2
7283 394 2
7310 287 2
7329 521 2
7370 1444 2
7394 6420 2
7572 2547 2
7743 41 2
7793 18684 2
7967 19881 2
7974 7988 1
7987 11506 2
8016 3441 1
8044 3692 1
8052 3125 1
8136 16425 2
8271 17046 2
8275 11782 2
8292 7869 2
8346 16748 2
8412 15667 2
8439 17250 2
8439 19147 2
8483 19389 2
8714 14112 2
9126 4689 2
9126 5978 2
9176 9356 2
9362 1903 2
9438 4307 2
9445 17905 1
9465 12454 2
9557 14911 2
9682 19636 2
9729 4438 2
9740 2996 2
10008 6608 2
10141 8015 2
10345 5978 2
10545 13696 2
10622 11426 2
10744 4586 2
10813 14690 1
10820 2339 2
11014 9807 2
11083 9726 2
11178 801 2
11192 15807 2
11264 13258 2
11321 19994 2
11337 14911 2
11410 18109 2
11414 18423 2
11804 19103 2
11838 13758 2
11965 16927 2
12215 13663 1
12250 15452 2
12273 6035 2
12286 13190 2
12431 4579 2
12749 7494 2
12768 10664 2
12840 3797 2
12859 6954 2
13078 15484 2
13107 3061 2
13183 3437 2
13203 10782 2
13259 15963 1
13315 12491 2
13349 14295 2
13629 10885 2
13707 13273 2
13850 15672 2
13964 15266 2
14235 7837 2
14235 11290 2
14240 16752 2
14245 3091 2
14256 16316 2
14343 2972 2
14343 15807 2
14404 759 2
14443 14322 2
14445 19190 2
14509 13788 2
14532 19371 2
14564 1320 2
14826 19796 2
14862 11409 2
14862 16143 2
14865 1425 1
14924 3307 2
15047 133 2
15093 6747 2
15162 10817 2
15176 350 2
15205 10927 2
15354 15787 2
15413 17714 2
15596 797 2
15744 1304 2
15748 16820 2
15789 6278 2
15795 13641 2
15848 4292 2
15915 1216 2
15993 10332 2
16062 1772 2
16087 4233 2
16123 12046 2
16364 19872 2
16550 13723 2
16585 14835 2
16622 2139 1
16630 2021 2
16842 4733 2
17007 16194 2
17038 4966 2
17119 10463 2
17192 9477 2
17215 3788 2
17228 5717 2
17433 12332 2
17441 15961 0
17464 16613 2
17506 8578 2
17536 19544 2
17702 7265 2
17876 5633 1
17932 8112 2
18017 10905 2
18035 4634 2
18079 13823 2
18079 18193 2
18136 16430 2
18341 19291 2
18384 500 2
18441 19073 2
18565 9973 2
18584 8805 2
18593 3183 2
18708 16285 2
18790 14298 2
18792 8669 2
18953 17030 2
19098 10546 2
19116 7282 2
19348 18381 2
19613 9646 2
19682 19694 2
19726 9100 1
19876 7453 2
19941 470 2
151 11444 2
588 17072 2
601 4013 2
609 17304 1
649 7768 2
683 15113 2
1211 19210 2
1396 12792 2
1619 13427 2
1629 13170 2
1715 203 2
1812 13235 2
1839 15680 2
1938 19090 2
2333 3464 1
2603 13611 2
2677 12199 2
2822 3948 2
2963 17049 2
3389 2689 2
3782 2280 2
3927 1859 2
3983 11890 2
4217 1720 2
4393 1492 2
4546 19854 2
4772 15904 2
4823 5894 2
5067 18528 2
5098 13849 1
5113 12015 2
5259 13611 2
5314 2308 2
5643 9470 2
5683 11625 2
5683 17743 1
5794 1276 2
5830 12423 2
6050 11309 2
6081 19099 2
6210 5947 2
6466 15912 2
6829 4059 2
6922 3219 2
6959 19823 2
7071 16856 2
7125 19587 1
7134 12735 2
7151 15324 2
7253 12861 2
7458 16121 2
7707 18984 2
7716 1914 1
7920 8722 2
7987 2833 2
8181 17368 2
8209 5326 2
8217 19171 2
8275 11306 1
8369 7592 2
8905 16138 2
9097 2093 2
9102 16857 2
9156 6834 2
9188 14558 2
9302 8882 2
9308 18979 2
9445 10127 2
9576 16617 1
9930 3337 2
9938 17444 2
9943 6967 2
10272 16609 2
10454 2388 2
10475 11109 2
10571 1040 2
10607 18267 2
10744 6957 2
10868 4812 1
11247 16503 2
11310 13911 2
11389 17396 2
11533 18442 2
12067 2088 2
12255 8108 2
12255 10935 2
12437 12754 2
12662 16393 2
12739 6251 2
12872 10708 2
12894 12391 2
13078 8135 2
13382 9739 2
13549 10480 2
13892 15617 2
14106 532 2
14122 17245 2
14221 5563 2
14319 8757 2
14649 8109 1
14865 8438 2
15517 13263 2
15866 12978 2
15925 5011 2
16335 18928 2
16340 13960 2
16382 5492 2
16556 4311 2
16695 4754 2
16965 1331 2
17173 4848 2
17383 6519 2
17464 1040 2
17684 8665 1
17768 2880 2
17867 9151 2
17979 2441 2
17997 1474 2
18006 1952 2
18029 3337 2
18029 16693 2
18504 10047 2
18671 11618 2
18695 3661 2
18736 18459 2
18847 6117 2
18953 12670 2
19051 9616 2
19662 13953 2
19679 15781 2
19744 7211 2
19842 2790 2
25 13055 2
154 12571 2
205 4583 2
459 10196 2
541 13816 2
590 3122 2
762 15063 2
809 18616 0
846 16202 2
1037 19921 2
1094 16219 2
1243 2839 2
1533 13620 2
1582 13034 2
1727 14037 2
1727 17243 2
1781 13321 2
2075 5302 1
2128 4360 2
2368 5745 2
2401 12036 2
2416 6812 2
